Item_No,Entry_No,Title,Journal,Authors,Abstract,Year,DOI,TheoryName,Subtypes_N,Subtypes_No.,Subtype_Label,Subtype_Description,Subtype_UniLabel,Subtype_Prevalence
ID59,ID59_03,The identification and classification of struggling readers based on the simple view of reading,Dyslexia: An International Journal of Research and Practice,"Sleeman, M., Everatt, J., Arrow, A., & Denston, A.","The simple view of reading (SVR) predicts that reading difficulties can result from decoding difficulties, language comprehension difficulties, or a combination of these difficulties. However, classification studies have identified a fourth group of children whose reading difficulties are unexplained by the model. This may be due to the type of classification model used. The current research included 209 children in Grades 3–5 (8–10 years of age) from New Zealand. Children were classified using the traditional approach and a cluster analysis. In contrast to the traditional classification model, the cluster analysis approach eliminated the unexplained reading difficulties group, suggesting that poor readers can be accurately assigned to one of three groups, which are consistent with those predicted by the SVR. The second set of analyses compared the three poor reader groups across 14 measures of reading comprehension, decoding, language comprehension, phonological awareness, and rapid naming. All three groups demonstrated reading comprehension difficulties, but the dyslexia group showed particular weaknesses in word processing and phonological areas, the SCD group showed problems deriving meaning from oral language, and the mixed group showed general deficits in most measures. The findings suggest that the SVR does have the potential to determine reading profiles and differential intervention methods. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1002/dys.1719,Simple view of reading,4,S1,Mixed difficulty group,Difficulty in decoding and language comprehension,Poor comprehender-decoder,13%
ID75,ID75_01,Understanding the nature and severity of reading difficulties among students with language and reading comprehension difficulties,Annals of Dyslexia,"Capin, P., Gillam, S. L., Fall, A.-M., Roberts, G., Dille, J. T., & Gillam, R. B.","This study investigated the presence of word reading difficulties in a sample of students in Grades 1–4 (n = 357) identified with language and reading comprehension difficulties. This study also examined whether distinct word reading and listening comprehension profiles emerged within this sample and the extent to which these groups varied in performance on cognitive and demographic variables. Findings showed that the majority of students (51%) with language and reading comprehension difficulties demonstrated significant risk in word reading (more than 1 SD below the mean), even though the participant screening procedures did not examine word reading directly. Three latent profiles emerged when students were classified into subgroups based on their performance in listening comprehension (LC) and word reading (WR): (1) severe difficulties in LC and moderate difficulties in WR (11%), (2) mild difficulties in both LC and WR (50%), and (3) moderate difficulties in LC and mild difficulties in WR (39%). Of note, even though students were identified for participation on the basis of poor oral language and reading comprehension abilities, all profiles demonstrated some degree of word reading difficulties. Findings revealed there were differences in age and performance on measures of working memory, nonverbal reasoning, and reading comprehension performance between profiles. Implications for educators providing instruction to students with or at risk for dyslexia and developmental language disorders were discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,10.1007/s11881-022-00255-3,Simple view of reading,3,S1,"Severe difficulties in listening comprehension, moderate difficulties in word reading",2 SDs below the mean of the normative sample on listening comprehension and 1 SD below the mean in word reading,"Severe difficulties in listening comprehension, moderate difficulties in word reading",10%
ID125,ID_125_01,Profiling the word reading abilities of school-age children with neurofibromatosis type 1,Journal of the International Neuropsychological Society,"Arnold, S. S., Payne, J. M., McArthur, G., North, K. N., & Barton, B.","Objective: Reading difficulties are one of the most significant challenges for children with neurofibromatosis type 1 (NF1). The aims of this study were to identify and categorize the types of reading impairments experienced by children with NF1 and to establish predictors of poor reading in this population. Method: Children aged 7–12 years with NF1 (n = 60) were compared with typically developing children (n = 36). Poor word readers with NF1 were classified according to impairment type (i.e., phonological, surface, mixed), and their reading subskills were compared. A hierarchical multiple regression was conducted to identify predictors of word reading. Results: Compared to controls, children with NF1 demonstrated significantly poorer literacy abilities. Of the 49 children with NF1 classified as poor readers, 20 (41%) were classified with phonological dyslexia, 24 (49%) with mixed dyslexia, and 5 (10%) fell outside classification categories. Children with mixed dyslexia displayed the most severe reading impairments. Stronger working memory, better receptive language, and fewer inattentive behaviors predicted better word reading skills. Conclusions: The majority of children with NF1 experience deficits in key reading skills which are essential for them to become successful readers. Weaknesses in working memory, receptive language, and attention are associated with reading difficulties in children with NF1. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",2021,10.1017/S135561772000106X,Dual-route model/Double-deficit hypothesis,4,S1,Phonological dyslexia,Z-score at or below -1.3 for nonword reading and z-score higher than -1 for irregular word reading,Phonological dyslexia,41%
ID126,ID_126_01,"Sequential and spatial letter reversals in adults with dyslexia during a word comparison task: demystifying the ""was saw"" and ""db"" myths",Clinical Linguistics & Phonetics,"Peter, B., Albert, A., Panagiotides, H., & Gray, S.","Whether sequential and spatial letter reversals characterize dyslexia in children has been unclear, largely due to developmental variability of these errors in children with and without dyslexia. Here we demonstrate both types of reversals for the first time in adults with dyslexia (n = 22) but not in control adults (n = 20). Participants evaluated 576 word pairs that consisted of two identical words or two words that differed subtly, by categorizing them as same or different. Two subsets of word pairs differed in sequential (e.g. ""two tow"") and spatial (e.g. ""cob cod"") letter reversals. The adults with dyslexia were less accurate than the controls regarding both types of word pairs. Their accuracy during left/right letter reversals was lower, compared to both up/down letter reversals (e.g. ""cub cup"") and nonsymmetric letter similarities (e.g. ""half halt""). Accuracy during left/right reversals was correlated with accuracy during sequential rearrangement in the word pair task as well as with a composite measure of sequential processing based on nonword repetition, nonword reading, and multisyllabic word repetition. It was also correlated with a composite measure of literacy skills. A subset of the dyslexia group who produced left/right errors during a rapid single letter naming task obtained lower accuracy than the dyslexia subgroup without such errors during both types of letter reversals, and their overall literacy skills were lower. We conclude that sequential and left/right letter reversals characterize a severe dyslexia subtype. These two types of reversal are associated, are part of a general deficit in sequential processing likely due to cerebellar deficits, and persist into adulthood.",2021,10.1080/02699206.2019.1705916,Sequential processing deficit theory,2,S1,Dyslexia with L/R naming errors,With left/right errors during rapid letter naming,Dyslexia with L/R naming errors,13.60%
ID127,ID_127_01,Spelling errors reveal underlying sequential and spatial processing deficits in adults with dyslexia,Clinical Linguistics & Phonetics,"Peter, B., Albert, A., & Gray, S.","ABSTRACT Recent studies showed that some adults with dyslexia have difficulty processing sequentially arranged information. In a companion study, this deficit manifested as low accuracy during a word pair comparison task involving same/different decisions when two words differed in their letter sequences. This sequential deficit was associated with left/right spatial letter confusion. In the present study, we found the same underlying difficulty with sequential and spatial letter processing during word spelling. Participants were the same 22 adults with dyslexia and 20 age- and gender-matched controls as in the companion study. In the spelling task, sequential error rates were higher in the dyslexia group, compared to the controls. Measures of accuracy of serial letter order during the spelling task and the word comparison task were correlated. Only three participants, each with dyslexia, produced left/right letter reversals during spelling. These were the same participants who produced left/right errors when naming single letters. They also had profound difficulty with sequential and left/right letter processing in the spelling and word comparison tasks, and they had the most severe spelling impairment. We conclude that this pervasive, persistent difficulty with sequential and spatial reversals contributes to a severe dyslexia subtype. In the dyslexia group as a whole, additional and separate sources of errors were underspecified word representations in long-term memory and homophone errors that likely represent language-based deficits in word knowledge. In the participants, these three factors (sequential/spatial letter confusion, underspecified word form representation, language-based deficits) occurred either as single factors or in combination with each other. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2021,10.1080/02699206.2020.1780322,Sequential processing deficit theory,2,S1,Dyslexia with L/R naming errors,With left/right errors during rapid letter naming,Dyslexia with L/R naming errors,13.60%
ID131,ID_131_01,Varieties of cognitive profiles in poor readers: Evidence for a VAS-impaired subtype,Journal of Learning Disabilities,"Valdois, S., Reilhac, C., Ginestet, E., & Bosse, M. L.","A wide share of secondary school children does not reach the expected competence level in reading. These children could benefit from more efficient intervention responses, providing a better understanding of their cognitive weaknesses/deficits. Our aim was to explore the cognitive heterogeneity of a population of poor readers identified from a large sample of 948 sixth-grade children. We first assessed the contribution of phoneme awareness (PA), rapid automatized naming (RAN), and visual attention span (VAS) to reading performance in a subset of 281 children including poor and average readers/spellers. We show that all three skills are unique and significant predictors of reading fluency. We then restricted the analysis to participants with normal Raven’s score (IQ) and oral language skills to focus on 110 children with more specific reading difficulties. A unique VAS deficit was found in 18% of these poor readers while 20% and 15.5% showed a unique PA or RAN deficit. Children with multiple or no deficit were further identified. The overall findings provide evidence for a variety of cognitive profiles in poor readers. They suggest that, in addition to PA interventions, training programs targeting VAS might be useful for the nontrivial share of poor readers who exhibit a VAS deficit. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2021,10.1177/0022219420961332,Unknown,8,S1,PA deficit,Fell below the 10th percentile of the normal reader group factorial coefficient in phoneme awareness,Phoneme-awareness-deficit,20%
ID135,ID_135_01,Flicker fusion thresholds as a clinical identifier of a magnocellular-deficit dyslexic subgroup,Scientific Reports,"Peters, J. L., Bavin, E. L., Brown, A., Crewther, D. P., & Crewther, S. G.","The magnocellular-dorsal system is well isolated by high temporal frequency. However, temporal processing thresholds have seldom been explored in developmental dyslexia nor its subtypes. Hence, performances on two, four-alternative forced-choice achromatic flicker fusion threshold tasks modulated at low (5%) and high (75%) temporal contrast were compared in dyslexic and neurotypical children individually matched for age and intelligence (8-12 years, n=54 per group). As expected, the higher modulation resulted in higher flicker fusion thresholds in both groups. Compared to neurotypicals, the dyslexic group displayed significantly lower ability to detect flicker at high temporal frequencies, both at low and high temporal contrast. Yet, discriminant analysis did not adequately distinguish the dyslexics from neurotypicals, on the basis of flicker thresholds alone. Rather, two distinct dyslexic subgroups were identified by cluster analysis - one characterised by significantly lower temporal frequency thresholds than neurotypicals (referred to as 'Magnocellular-Deficit' dyslexics; 53.7%), while the other group ('Magnocellular-Typical' dyslexics; 46.3%) had comparable thresholds to neurotypicals. The two dyslexic subgroups were not differentially associated with phonological or naming speed subtypes and showed comparable mean reading rate impairments. However, correlations between low modulation flicker fusion threshold and reading rate for the two subgroups were significantly different (p=.0009). Flicker fusion threshold performances also showed strong classification accuracy (79.3%) in dissociating the Magnocellular-Deficit dyslexics and neurotypicals. We propose that temporal visual processing impairments characterize a previously unidentified subgroup of dyslexia and suggest that measurement of flicker fusion thresholds could be used clinically to assist early diagnosis and appropriate treatment recommendations for dyslexia.",2020,10.1038/s41598-020-78552-3,Temporal processing deficit theory,2,S1,Magnocellular-deficit dyslexics (MD-Dyslexics),Deficit in flicker fusion threshold tasks,Magnocellular-deficit dyslexics (MD-Dyslexics),53.70%
ID135,ID_135_02,Flicker fusion thresholds as a clinical identifier of a magnocellular-deficit dyslexic subgroup,Scientific Reports,"Peters, J. L., Bavin, E. L., Brown, A., Crewther, D. P., & Crewther, S. G.","The magnocellular-dorsal system is well isolated by high temporal frequency. However, temporal processing thresholds have seldom been explored in developmental dyslexia nor its subtypes. Hence, performances on two, four-alternative forced-choice achromatic flicker fusion threshold tasks modulated at low (5%) and high (75%) temporal contrast were compared in dyslexic and neurotypical children individually matched for age and intelligence (8-12 years, n=54 per group). As expected, the higher modulation resulted in higher flicker fusion thresholds in both groups. Compared to neurotypicals, the dyslexic group displayed significantly lower ability to detect flicker at high temporal frequencies, both at low and high temporal contrast. Yet, discriminant analysis did not adequately distinguish the dyslexics from neurotypicals, on the basis of flicker thresholds alone. Rather, two distinct dyslexic subgroups were identified by cluster analysis - one characterised by significantly lower temporal frequency thresholds than neurotypicals (referred to as 'Magnocellular-Deficit' dyslexics; 53.7%), while the other group ('Magnocellular-Typical' dyslexics; 46.3%) had comparable thresholds to neurotypicals. The two dyslexic subgroups were not differentially associated with phonological or naming speed subtypes and showed comparable mean reading rate impairments. However, correlations between low modulation flicker fusion threshold and reading rate for the two subgroups were significantly different (p=.0009). Flicker fusion threshold performances also showed strong classification accuracy (79.3%) in dissociating the Magnocellular-Deficit dyslexics and neurotypicals. We propose that temporal visual processing impairments characterize a previously unidentified subgroup of dyslexia and suggest that measurement of flicker fusion thresholds could be used clinically to assist early diagnosis and appropriate treatment recommendations for dyslexia.",2020,10.1038/s41598-020-78552-3,Dual-route model/Double-deficit hypothesis,4,S1,Naming speed deficit,At least 1SD below age expectations on the rapid naming composite,Surface dyslexia,22.22%
ID144,ID_144_01,Influence of comorbidity on working memory profile in dyslexia and developmental coordination disorder,Journal of Clinical and Experimental Neuropsychology,"Maziero, S., Tallet, J., Bellocchi, S., Jover, M., Chaix, Y., & Jucla, M.","Objective: Many studies report a deficit in working memory in children with Developmental Dyslexia (DD) and Developmental Coordination Disorder (DCD) compared to children with Typical Development (TD). In this study, we questioned the working memory profile of children with co-occurring Developmental Dyslexia and Developmental Coordination Disorder (DD-DCD). First, we hypothesized that children with DD would have a more substantial deficit in verbal working memory, while children with DCD would have a more substantial deficit in visuospatial working memory. For the comorbid group, we postulated a deficit in both the verbal and visuospatial domains. Second, we determined whether we could correctly distinguish between the four groups based on their working memory profiles. Method: 47 children with DD, 22 children with DCD, 27 children with DD-DCD, and 42 TD children aged from 7.6 to 12.6 years were tested on the phonological loop, the visuospatial sketchpad, and the central executive using the Digit Span and Wechsler’s Block-tapping tests. Results: Children with DD had a deficit in verbal working memory including a specific deficit in the phonological loop and children with DCD had a deficit in visuospatial working memory. Comorbid children had poorer performance in verbal working memory (like group with DD) and in visuospatial working memory (like group with DCD). Exploratory cluster analysis resulted in four subgroups: (1) one cluster with good working memory performance made up of most of the TD children; (2) one cluster with a phonological loop deficit mainly made up of the children with DD; (3) one cluster with poor visuospatial working memory capacities mostly made up of the children with DCD (± DD) and (4) one cluster with average performance made up of children from all the groups. Conclusion: Our results underline the importance of taking comorbidity into account when testing working memory in children with learning disabilities. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2020,10.1080/13803395.2020.1798880,Working memory deficit theory,4,S1,(No label),Without a working memory deficit;contained most children with an above-average score,Working-memory subtype 1,11%
ID150,ID_150_01,Exploring the phonological profiles of children with reading difficulties: A multiple case study,Dyslexia: An International Journal of Research and Practice,"Mundy, I. R., & Hannant, P.","Studies of group differences have established that the phonological profiles of people with reading difficulties contain both strengths and weaknesses. The current study extends this work by exploring individual differences in phonological ability using a multiple case study approach. A heterogeneous sample of 56 children (M age = 9 years) with reading difficulties completed a battery of tasks measuring literacy, phonological processing, expressive vocabulary and general ability. The phonological tasks included measures of phonological awareness (PA), phonological memory (PM), and rapid naming (RAN). A majority—although not all—of the children had phonological processing impairments. However, there was also substantial variability in the nature of children's phonological difficulties. While multiple impairments encompassing two or more phonological domains were most common, impairments that were specific to PA, PM or RAN also occurred frequently. Even within the domain of PA, where children completed three well‐matched tasks, individual children were rarely impaired across all three measures and a number of different profiles were observed. Additional, group‐level analyses indicated that PA was a significant predictor of decoding while RAN was a significant predictor of automatic word recognition and comprehension. Findings are discussed with reference to conceptual models of phonological processing and implications for assessment. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2020,10.1002/dys.1667,Phonological processing model,8,S1,Phonological-deficit only (PA),At least 1SD below population mean in only the phonological awarness tasks,Phonological dyslexia,8.90%
